validator_id,uptime,missed_att,missed_prop,slashed,stake,proposal_quality,peer_feedback,epoch_consistency,threat_response
12345,0.9658498814350908,5,4,False,1.0,0.5275812133117176,0.5,0.5259783943906345,0.5259783943906345
67890,0.9998909131224972,1,0,False,0.0,0.5555773699863525,0.5444129788907267,0.5697963941137543,0.5697963941137543
424242,0.9819432159341236,1,1,False,0.0,0.5259698303083719,0.5494850871156299,0.5093227281850389,0.5093227281850389
40000,0.9626373617950557,3,5,True,1.0,0.5,0.5511564156697866,0.5303173126913087,0.5303173126913087
40001,0.9833215587437945,0,1,False,1.0,0.5126218627781195,0.5208713690158586,0.5237021116029968,0.5237021116029968
40002,1.0,0,1,False,1.0,0.5199611427844364,0.5540235478310881,0.5359411973999968,0.5359411973999968
40003,0.9667308160798974,6,4,False,1.0,0.5546722702574786,0.5,0.523190776163176,0.523190776163176
40004,1.0,2,1,False,1.0,0.5763541469625982,0.4972820893839199,0.5108021319168817,0.5108021319168817
40005,0.9787245460919605,1,0,False,1.0,0.5741777182972888,0.49827014586992174,0.5,0.5
40006,0.9878061015478334,2,4,False,1.0,0.5129300816127444,0.5370501919891731,0.5171838506775874,0.5171838506775874
40007,1.0,1,0,False,1.0,0.5357283275380373,0.5094657238632889,0.5360096361779555,0.5360096361779555
40008,0.9381150325309775,4,4,False,1.0,0.5526213953032003,0.5206689382732897,0.5094472993004474,0.5094472993004474
40009,1.0,4,2,False,1.0,0.5708961988235519,0.5122847664696374,0.5046676781900614,0.5046676781900614
40010,0.9671907630236689,1,3,False,1.0,0.5,0.5145410137039881,0.5759684704090178,0.5759684704090178
40011,0.9729844615069013,1,1,False,1.0,0.5814061986046162,0.5193972995665245,0.5249789355960126,0.5249789355960126
40012,1.0,0,1,False,0.0,0.5612149408474854,0.5240718932933184,0.5,0.5
40013,0.9436814851061062,4,4,False,0.0,0.4950873756559959,0.5072443191288603,0.5372097787107866,0.5372097787107866
40014,1.0,0,0,False,0.0,0.5491804348419215,0.5569784013786663,0.5073886132301069,0.5073886132301069
40015,1.0,0,0,False,0.0,0.5356232104172101,0.513531858983405,0.5124292379043807,0.5124292379043807
40016,0.9948028821399819,1,1,True,0.0,0.6096556539739743,0.5141232433431443,0.5124944731640052,0.5124944731640052
40017,1.0,1,2,False,0.0,0.5250055642075638,0.5297772735651306,0.48870340907661475,0.48870340907661475
40018,0.9950423706493712,3,1,True,0.0,0.5616339352091465,0.5078574854883762,0.5376848888322873,0.5376848888322873
40019,0.9986074408369048,3,1,False,0.0,0.5804623811643609,0.5172587165250092,0.5329439819414474,0.5329439819414474
40020,1.0,0,0,False,0.0,0.5447325507061996,0.5184614145781435,0.5115676716845049,0.5115676716845049
40021,0.9983766932945582,0,0,False,0.0,0.5513919598820161,0.5312524761293921,0.5444822914545842,0.5444822914545842
40022,0.9960432250572159,0,0,False,0.0,0.5486128442142472,0.5333942652976572,0.5182229877473653,0.5182229877473653
40023,0.9902161648150098,0,0,False,0.0,0.5573742579238725,0.5089174876364001,0.5777898973507393,0.5777898973507393
40024,1.010666745035837,1,1,False,0.0,0.564916791345433,0.5,0.5792647277561744,0.5792647277561744
40025,1.0,2,0,False,0.0,0.6071073344274782,0.5,0.5280273860199644,0.5280273860199644
40026,0.9889657860946092,1,1,True,0.0,0.5767318026669047,0.5323969842499978,0.5,0.5
40027,1.0,2,0,False,0.0,0.5890808203919553,0.5,0.535372435099273,0.535372435099273
40028,0.970049352224155,1,2,False,0.0,0.5302128793933976,0.568021876229039,0.5,0.5
40029,0.9893790468528332,3,2,False,0.0,0.541074547004946,0.5100654333658328,0.5397391962941541,0.5397391962941541
40030,0.9772124716488723,2,3,True,0.0,0.506365952780617,0.5286052144060288,0.4920153035700142,0.4920153035700142
40031,0.998755536339133,0,0,True,0.0,0.5195445089824289,0.5291693807440699,0.5330605096994793,0.5330605096994793
40032,0.9837232771886127,0,0,False,0.0,0.5161469287889097,0.5374547126921839,0.5141280850293621,0.5141280850293621
40033,1.0,0,0,False,0.0,0.6168822351879566,0.5109670081623705,0.5333339878869587,0.5333339878869587
40034,0.9837214373185097,3,4,False,0.0,0.5395615821940519,0.5145958722396005,0.5,0.5
40035,0.9625843703149513,4,5,False,0.0,0.5,0.5401672916389643,0.5305930525631493,0.5305930525631493
40036,0.98323068945185,2,2,False,0.0,0.5316583936207974,0.5228337569344821,0.49409808708960085,0.49409808708960085
40037,0.9415766552016075,0,1,False,0.0,0.5224105891107546,0.49076063414929116,0.4851882781380622,0.4851882781380622
40038,1.0,0,0,False,0.0,0.549362837231186,0.544784836901268,0.5150354390396119,0.5150354390396119
40039,1.0,0,0,False,0.0,0.5546432189866733,0.5679180610215214,0.5010619591882881,0.5010619591882881
40040,0.9813847494150312,5,6,False,0.0,0.5,0.530399617336546,0.5217261918020516,0.5217261918020516
40041,1.0,0,0,False,0.0,0.5488498680661065,0.5733699789118547,0.520085710620342,0.520085710620342
40042,0.9559121731999402,1,1,False,0.0,0.5296460964511283,0.4961555995200031,0.5419554765422889,0.5419554765422889
40043,0.9522370339504118,2,1,False,0.0,0.5415699417392652,0.5326839975309346,0.5097407440360621,0.5097407440360621
40044,0.9243696856732401,3,3,False,0.0,0.5373078903053451,0.49215534919943593,0.529671493421529,0.529671493421529
40045,1.0,1,1,False,0.0,0.5436320940809866,0.5117395418549168,0.5488515595082998,0.5488515595082998
40046,0.9576431260421059,2,3,False,0.0,0.5147660981682527,0.521357963508235,0.5592872749750157,0.5592872749750157
40047,0.955446648743906,3,3,False,0.0,0.5382094896626146,0.5142832863337374,0.5,0.5
40048,1.0,1,0,False,0.0,0.6314232759200631,0.5070266139848255,0.5078993862767467,0.5078993862767467
40049,0.9987005753063999,2,0,False,0.0,0.5870052037209152,0.5155696224245958,0.49559304892525424,0.49559304892525424
40050,0.9930710799739146,4,1,False,0.0,0.605474742496387,0.5,0.5250945414833704,0.5250945414833704
40051,0.918742432740561,4,3,False,0.0,0.5511629376479652,0.5219822237633274,0.4992979626740728,0.4992979626740728
40052,1.0,2,1,False,0.0,0.5297997039092543,0.5032167272804399,0.5385643516549402,0.5385643516549402
40053,0.9091596913124208,4,5,False,0.0,0.5,0.5019490977452997,0.5403421829671725,0.5403421829671725
40054,0.9980298098319722,0,0,False,0.0,0.5411267587433148,0.5208909921690843,0.5496214335875284,0.5496214335875284
40055,1.0,0,0,False,0.0,0.5106638708068092,0.5391402481519347,0.5496501254247692,0.5496501254247692
40056,0.9727258006707183,0,1,False,0.0,0.5590063411006112,0.502398768039717,0.50635345758331,0.50635345758331
40057,0.970931693045697,4,4,False,0.0,0.5477238150959306,0.5037220103407513,0.5126732331691136,0.5126732331691136
40058,0.9697110916775715,3,2,False,1.0,0.5895529485974229,0.5201446863886326,0.5138128448380461,0.5138128448380461
40059,0.98907825054965,3,2,False,0.0,0.548615615334977,0.5133576728320638,0.5528554238404143,0.5528554238404143
40060,0.9682645024139702,0,0,False,0.0,0.5084053885142217,0.5292853993643828,0.5410036155845864,0.5410036155845864
40061,0.9864423919582379,3,3,False,0.0,0.5991045590035889,0.5292223417115718,0.5064345304743587,0.5064345304743587
40062,0.983035541631474,1,1,False,0.0,0.5165893256429874,0.537654140074414,0.5136604726614764,0.5136604726614764
40063,0.9907830137693321,4,4,False,0.0,0.5238174157272898,0.49796433896002124,0.5477175460306307,0.5477175460306307
40064,0.9796478628533746,1,1,False,1.0,0.5397591485724784,0.5568389630374835,0.5,0.5
40065,0.9974519950962919,1,1,False,1.0,0.5377077799362031,0.550840234334081,0.5118138553049905,0.5118138553049905
40066,0.9786914706066971,2,2,False,1.0,0.557003585391729,0.5055877458506677,0.5300632264032573,0.5300632264032573
40067,0.917373502415468,4,5,False,1.0,0.5884102243830511,0.509229095416389,0.5132245569390971,0.5132245569390971
40068,0.9688415214620777,5,5,False,1.0,0.5509695116841797,0.5044889463523656,0.5313384948896799,0.5313384948896799
40069,0.9998047557434406,0,0,False,1.0,0.5510031209973516,0.5512941997369288,0.5,0.5
40070,0.9965876804621911,1,2,False,1.0,0.512230883712294,0.5265639041683937,0.5634646782262962,0.5634646782262962
40071,0.9622098674667438,4,2,False,1.0,0.5473828232181043,0.5183814488979521,0.5265610996445952,0.5265610996445952
40072,0.9641045511674131,3,2,False,1.0,0.5550794498659947,0.5320275352705262,0.5260531061965145,0.5260531061965145
40073,0.9923333767431664,2,0,False,1.0,0.6061597397473234,0.49564434796137824,0.520839662892737,0.520839662892737
40074,0.9641437707832405,2,1,False,1.0,0.5877249673287206,0.5150910155562792,0.5131866981197477,0.5131866981197477
40075,0.978046069724999,1,1,False,1.0,0.5591303384186527,0.5294921172365945,0.5147086604241458,0.5147086604241458
40076,1.0,1,2,False,1.0,0.5148493871249751,0.5539864794370453,0.5530256979830998,0.5530256979830998
40077,0.9626032474067688,2,3,False,1.0,0.5074719735593257,0.5193375614366623,0.5345497739199354,0.5345497739199354
40078,0.9428260739850607,5,4,False,1.0,0.5080256902436608,0.5,0.5171982156242162,0.5171982156242162
40079,0.9606334789958088,2,1,False,1.0,0.537224060444246,0.5385394518975143,0.5351240689831573,0.5351240689831573
40080,1.0,0,0,False,1.0,0.544550844203059,0.5658190457013891,0.4967938223995906,0.4967938223995906
40081,0.9742954878340593,1,4,False,1.0,0.536606051005754,0.5418630552607526,0.5221018995041826,0.5221018995041826
40082,0.985534259150057,0,2,False,1.0,0.5174675259068784,0.5411687029297961,0.5579056456125235,0.5579056456125235
40083,0.9604946173760431,3,3,False,1.0,0.5191740726281387,0.5,0.5657418158368628,0.5657418158368628
40084,0.9643777180774269,2,2,False,0.0,0.5065935055061812,0.5592814991221825,0.5234003335249632,0.5234003335249632
40085,0.9996197016737893,0,0,False,0.0,0.519700450532565,0.5420487250772328,0.5428781739393027,0.5428781739393027
40086,0.9889738987163746,1,1,False,0.0,0.5367941329328509,0.49923557968979965,0.5191072470123888,0.5191072470123888
40087,1.0175558808418204,1,1,False,0.0,0.5529230173593989,0.5369611152257582,0.5245638863948824,0.5245638863948824
